name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Noir,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87258-smartphone-infinix-smart-10-4g-3-go-64-go-noir.html,Tunisianet
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Vert,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87878-smartphone-tecno-spark-go-2-km4-3-go-64-go-vert.html,Tunisianet
Smartphone Infinix SMART 9 4G / 3 Go / 64 Go / Silver,Infinix,3.0,3.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/79418-smartphone-infinix-smart-9-4g-3-go-64-go-silver.html,Tunisianet
SMARTPHONE REALME NOTE 60X  3/64G / Vert,realme,3.0,64.0,5000.0,6.7,50.0,5.0,4G,Android 14,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87881-smartphone-realme-note-60x-364g-vert.html,Tunisianet
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Blanc,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87879-smartphone-tecno-spark-go-2-km4-3-go-64-go-blanc.html,Tunisianet
SMARTPHONE REALME NOTE 60X  3/64G / Noir,realme,3.0,64.0,5000.0,6.7,50.0,5.0,4G,Android 14,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87880-smartphone-realme-note-60x-364g-noir.html,Tunisianet
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Gris,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87877-smartphone-tecno-spark-go-2-km4-3-go-64-go-gris.html,Tunisianet
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Noir,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87876-smartphone-tecno-spark-go-2-km4-3-go-64-go-noir.html,Tunisianet
SMARTPHONE TCL 503 6GB / 64GB / Blue,TCL,6.0,64.0,5000.0,6.7,8.0,5.0,4G,Android 12,Octa Core,279.0,https://www.tunisianet.com.tn/smartphone-tunisie/82742-smartphone-tcl-503-3gb3gb64gb-blue.html,Tunisianet
Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Bleu,Xiaomi,3.0,64.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/86975-smartphone-xiaomi-redmi-a5-3-go-64-go-bleu.html,Tunisianet
Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Gold,Xiaomi,3.0,64.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/86973-smartphone-xiaomi-redmi-a5-3-go-64-go-gold.html,Tunisianet
SMARTPHONE REALME NOTE 50  3/64G  /  Noir,realme,3.0,64.0,5000.0,6.7,50.0,5.0,4G,Android 13,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/76631-smartphone-realme-note-50-364g-bleu.html,Tunisianet
