model,brand,reference,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone XIAOMI Redmi 15C 6Go 128Go - Orange Twilight,Xiaomi,REDMI-15C-6/128-TORANGE,469.000,,6,12.0,5160.0,6.9,,,,Android 15,Octa Core,Orange Twilight,,Oui,"Smartphone XIAOMI Redmi 15C 6Go 128Go - Orange Twilight [REDMI-15C-6/128-TORANGE] Écran 6,9"" LCD IPS (1600×720 pixels), jusqu'à 120Hz  - Trois certifications TÜV Rheinland - Processeur: MediaTek Helio G81-Ultra Octa-core - Système d'exploitation: Android 15, HyperOS 2 - Mémoire RAM: 6Go - Stockage: 12... 469,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-15c-6go-128go-orange-twilight.html
Smartphone VIVO Y21D 6Go 128Go - Rouge corail,Vivo,VIVO-Y21D-6/128-CRED,479.000,,6,128.0,5000.0,6.68,,,,Android 15,Octa Core,Rouge corail,,Oui,"Smartphone VIVO Y21D 6Go 128Go - Rouge corail [VIVO-Y21D-6/128-CRED] Smartphone VIVO Y21D - 6,68"" AMOLED (1608 × 720 pixels), 90 Hz, 1000 nits - Protection certifiée SGS Gold Label Five-Star - Processeur: QT7225 (12 nm) Octa-core - Système d'exploitation: Android 15, Funtouch OS 15 - RAM:... 479,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-vivo-y21d-6go-128go-rouge-corail.html
Smartphone VIVO Y21D 6Go 128Go - Vert Jade,Vivo,VIVO-Y21D-6/128-JGREEN,479.000,,6,128.0,5000.0,6.68,,,,Android 15,Octa Core,Vert Jade,,Oui,"Smartphone VIVO Y21D 6Go 128Go - Vert Jade [VIVO-Y21D-6/128-JGREEN] Smartphone VIVO Y21D - 6,68"" AMOLED (1608 × 720 pixels), 90 Hz, 1000 nits - Protection certifiée SGS Gold Label Five-Star - Processeur: QT7225 (12 nm) Octa-core - Système d'exploitation: Android 15, Funtouch OS 15 - RAM:... 479,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-vivo-y21d-6go-128go-vert-jade.html
Smartphone OPPO A6x 4Go 128Go - Bleu,OPPO,OPPO-A6X-4/128-BLEU,479.000,,4,128.0,5000.0,6.75,,,4G,,Octa Core,Bleu,,Oui,"Smartphone OPPO A6x 4Go 128Go - Bleu [OPPO-A6X-4/128-BLEU] Écran 6.75"" HD+ (1570 x 720 Pixels), 120Hz - Écran ultra lumineux de 800 nits - Processeur: Qualcomm Snapdragon 685 Octa-core - Systéme d'exploitation: Android, ColorOS 15.0 - Mémoire RAM: 4Go - Stockage: 128Go - Apparei... 479,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oppo-a6x-4go-128go-bleu.html
Smartphone OPPO A6x 4Go 128Go - Violet,OPPO,OPPO-A6X-4/128-PURPLE,479.000,,4,128.0,5000.0,6.75,,,4G,,Octa Core,Violet,,Oui,"Smartphone OPPO A6x 4Go 128Go - Violet [OPPO-A6X-4/128-PURPLE] Écran 6.75"" HD+ (1570 x 720 Pixels), 120Hz - Écran ultra lumineux de 800 nits - Processeur: Qualcomm Snapdragon 685 Octa-core - Systéme d'exploitation: Android, ColorOS 15.0 - Mémoire RAM: 4Go - Stockage: 128Go - Apparei... 479,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oppo-a6x-4go-128go-violet.html
Smartphone OPPO A3x 4Go 128Go - Bleu,OPPO,OPPO-A3X-4/128-BL,499.000,,4,128.0,5000.0,6.67,,,4G,Android 14,Octa Core,Bleu,,Oui,"Smartphone OPPO A3x 4Go 128Go - Bleu [OPPO-A3X-4/128-BL] Écran 6.67"" HD+ (720 x 1604Pixels), 90Hz - Écran ultra lumineux de 1000 nits - Processeur: Qualcomm Snapdragon 6s 4G Gen1 Octa-core - Systéme d'exploitation: Android 14, ColorOS 14 - Mémoire RAM: 4Go - Stockage: 128Go - ... 499,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oppo-a3x-4go-128go-bleu.html
Smartphone OPPO A3x 4Go 128Go - Rouge Nébuleuse,OPPO,OPPO-A3X-4/128-RED,499.000,,4,128.0,5000.0,6.67,,,4G,Android 14,Octa Core,Rouge Nébuleuse,,Oui,"Smartphone OPPO A3x 4Go 128Go - Rouge Nébuleuse [OPPO-A3X-4/128-RED] Écran 6.67"" HD+ (720 x 1604Pixels), 90Hz - Écran ultra lumineux de 1000 nits - Processeur: Qualcomm Snapdragon 6s 4G Gen1 Octa-core - Systéme d'exploitation: Android 14, ColorOS 14 - Mémoire RAM: 4Go - Stockage: 128Go - ... 499,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oppo-a3x-4go-128go-rouge.html
Smartphone SAMSUNG GALAXY A16 8Go 128Go - Noir,Samsung,SM-A16-4/128-BLACK,599.000,499.000,4,128.0,5000.0,6.7,,,4G,Android 14,Octa Core,Noir,,En arrivage,"Smartphone SAMSUNG GALAXY A16 8Go 128Go - Noir [SM-A16-4/128-BLACK] Écran 6.7"" Super Amoled  FHD+ (2340x 1080px) 90 Hz - Processeur: Mediatek Helio G99 Octa-core - Système d'exploitation: Android 14 - Mémoire RAM: 4Go (extensible jusqu'à 8 Go) - Stockage: 128Go - Appareil photo Arrière: ... 499,000 DT 599,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-samsung-galaxy-a16-4go-128go-noir.html
Smartphone TECNO Spark 30C 5G  4Go 64Go -  Aurora Cloud,Tecno,TECNO-SP30C-4/64-AGREEN,549.000,499.000,4,64.0,5000.0,6.67,48.0,8.0,5G,Android 14,MediaTek,Aurora Cloud,,Oui,"Smartphone TECNO Spark 30C 5G  4Go 64Go -  Aurora Cloud [TECNO-SP30C-4/64-AGREEN] Écran perforé 6.67""HD+ 120 Hz (720 x 1600pixels) - Processeur: MediaTek Dimensity 6300 5G - Système d'exploitation: Android 14 - Mémoire RAM: 4Go  - Stockage: 64Go - Appareil Photo Arrière: 48 MP, triple flash - Avant: 8... 499,000 DT 549,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-30c-5g-4go-64go-aurora-cloud.html
Smartphone TECNO Spark 30C 5G  4Go 64Go - Azure sky,Tecno,TECNO-SP30C-4/64-BLUE,549.000,499.000,4,64.0,5000.0,6.67,48.0,8.0,5G,Android 14,MediaTek,Azure sky,,Oui,"Smartphone TECNO Spark 30C 5G  4Go 64Go - Azure sky [TECNO-SP30C-4/64-BLUE] Écran perforé 6.67""HD+ 120 Hz (720 x 1600pixels) - Processeur: MediaTek Dimensity 6300 5G - Système d'exploitation: Android 14 - Mémoire RAM: 4Go  - Stockage: 64Go - Appareil Photo Arrière: 48 MP, triple flash - Avant: 8... 499,000 DT 549,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-30c-5g-4go-64go-azure-sky.html
Smartphone SAMSUNG GALAXY A06 5G 8Go 64Go - Light Green,Samsung,SM-A06-5G-4/64-LGREEN,599.000,499.000,4,64.0,5000.0,6.7,50.0,,5G,,Octa Core,Light Green,,Oui,"Smartphone SAMSUNG GALAXY A06 5G 8Go 64Go - Light Green [SM-A06-5G-4/64-LGREEN] Écran6.7"" LCD (720 x 1600px (HD+))- Processeur:Octa-core - Système d'exploitation: Android - Mémoire RAM: 4Go extensible jusqu’à 8 Go - Stockage: 64Go - Appareil photo Arrière:  50MP + 2MP - Appareil Photo Frontale: 08 M... 499,000 DT 599,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a06-5g-4go-64go-light-green.html
Smartphone SAMSUNG GALAXY A06 5G 8Go 64Go - Gris,Samsung,SM-A06-5G-4/64-GRAY,599.000,499.000,4,64.0,5000.0,6.7,50.0,8.0,5G,,Octa Core,Gris,,Oui,"Smartphone SAMSUNG GALAXY A06 5G 8Go 64Go - Gris [SM-A06-5G-4/64-GRAY] Écran6.7"" LCD (720 x 1600px (HD+))- Processeur:Octa-core - Système d'exploitation: Android - Mémoire RAM: 4Go extensible jusqu'à 8 Go - Stockage: 64Go - Appareil photo Arrière: 50MP + 2MP - Appareil Photo Frontale: 08 MP... 499,000 DT 599,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a06-5g-4go-64go-gris.html
Smartphone SAMSUNG GALAXY A06 5G 8Go 64Go - Noir,Samsung,SM-A06-5G-4/64-BLACK,599.000,499.000,4,64.0,5000.0,6.7,50.0,,5G,,Octa Core,Noir,,Oui,"Smartphone SAMSUNG GALAXY A06 5G 8Go 64Go - Noir [SM-A06-5G-4/64-BLACK] Écran 6.7"" LCD (720 x 1600px (HD+))- Processeur:Octa-core - Système d'exploitation: Android - Mémoire RAM: 4Go extensible jusqu’à 8 Go - Stockage: 64Go - Appareil photo Arrière:  50MP + 2MP - Appareil Photo Frontale: 08 ... 499,000 DT 599,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a06-5g-4go-64go-noir.html
Smartphone HONOR  X6C 12Go 128Go 4G - Cyan,Honor,HONOR-X6C-6/128-CYAN,499.000,,6,128.0,5000.0,6.61,,,4G,Android 15,Octa Core,Cyan,,Oui,"Smartphone HONOR  X6C 12Go 128Go 4G - Cyan [HONOR-X6C-6/128-CYAN] Écran 6,61"" LCD TFT (1604 x 720 pixels) 120Hz - Processeur: MediaTek Helio G81 Ultra Octa-core - Système d’exploitation: MagicOS 9.0, Android 15 - Mémoire RAM: 6 Go extensible jusqu'à 12 Go -Capacité de stockage: 128 Go ... 499,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-x6c-12go-128go-4g-cyan.html
