model,brand,reference,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone INFINIX Smart 10 3Go 64Go - TITANIUM SILVER,Infinix,X6725-SMART10-3/64-TSILVER,265.000,,3,64,5000,6.7,8,,,Android 15,Octa Core,TITANIUM SILVER,,Oui,"Smartphone INFINIX Smart 10 3Go 64Go - TITANIUM SILVER [X6725-SMART10-3/64-TSILVER] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 3Go - Stockage: 64Go - Appareil Photo Arrière: 8MP , Frontal... 265,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-3go-64go-titanium-silver.html
Smartphone INFINIX Smart 10 3Go 64Go - SEELK BLACK,Infinix,X6725-SMART10-3/64-SBLACK,265.000,,3,64,5000,6.7,8,,,Android 15,Octa Core,SEELK BLACK,,Oui,"Smartphone INFINIX Smart 10 3Go 64Go - SEELK BLACK [X6725-SMART10-3/64-SBLACK] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 3Go - Stockage: 64Go - Appareil Photo Arrière: 8MP , Frontal... 265,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-3go-64go-seelk-black.html
Smartphone TECNO KM4 Spark 3/64GO 2025 - Green,Tecno,TECNO-KM4-3/64-GREEN,269.000,,3,64,5000,720,,,,Android 15,,Green,,Non,"Smartphone TECNO KM4 Spark 3/64GO 2025 - Green [TECNO-KM4-3/64-GREEN] Smartphone TECNO KM4 Spark - Écran: LCD IPS 6.67"" (720 x 1600 pixels) - Taux de rafraîchissement: 120 Hz - Capacité de la batterie: 5000 mAh - Système d'exploitation: Android 15, HIOS 15 - RAM: 3Go - Stockage: 64Go - App... 269,000 DT Disponibilité Épuisé",https://www.mytek.tn/smartphone-tecno-km4-spark-3-64go-2025-green.html
Smartphone TECNO KM4 Spark 3/64GO 2025 - White,Tecno,TECNO-KM4-3/64-WHITE,269.000,,3,64,5000,720,,,,Android 15,,White,,Oui,"Smartphone TECNO KM4 Spark 3/64GO 2025 - White [TECNO-KM4-3/64-WHITE] Smartphone TECNO KM4 Spark - Écran: LCD IPS 6.67"" (720 x 1600 pixels) - Taux de rafraîchissement: 120 Hz - Capacité de la batterie: 5000 mAh - Système d'exploitation: Android 15, HIOS 15 - RAM: 3Go - Stockage: 64Go - App... 269,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-km4-spark-3-64go-2025-white.html
Smartphone ITEL A50C 2Go + 64Go - Sapphire Black,Itel,ITEL-A50C-2/64-BK,269.000,,2,64,4000,6.56,8,5,,Android 14,Octa Core,Sapphire Black,,Oui,"Smartphone ITEL A50C 2Go + 64Go - Sapphire Black [ITEL-A50C-2/64-BK] Écran 6.56"" HD (1612 x 720 Pixels) - Processeur: Unisoc T603 Octa-core - Système d'exploitation: Android 14 (édition Go) - Mémoire RAM: 2Go  - Stockage: 64Go - Appareil Photo Arrière: 8.0 MP - Appareil Photo Avant: 5.0 M... 269,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-itel-a50c-2go-64go-sapphire-black.html
Smartphone ITEL A50C 2Go + 64Go - Dawn blue,Itel,ITEL-A50C-2/64-DBLUE,269.000,,2,64,4000,6.56,8,,,Android 14,Octa Core,Dawn blue,,Oui,"Smartphone ITEL A50C 2Go + 64Go - Dawn blue [ITEL-A50C-2/64-DBLUE] Écran 6.56"" HD (1612 x 720 Pixels) - Processeur: Unisoc T603 Octa-core - Système d'exploitation: Android 14 (édition Go) - Mémoire RAM: 2Go (extensible jusqu'à 4Go) - Stockage: 64Go - Appareil Photo Arrière: 8.0 MP - App... 269,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-itel-a50c-2go-64go-dawn-blue.html
Smartphone XIAOMI Redmi A5 4G 3/64Go - Noir,Xiaomi,REDMI-A5-3/64-MBLACK,289.000,,3,64,5200,6.88,32,,4G,Android 15,Octa Core,Noir,,Oui,"Smartphone XIAOMI Redmi A5 4G 3/64Go - Noir [REDMI-A5-3/64-MBLACK] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 3Go - Stockage : 64Go - Appareil photo arrière: 32 MP - Appareil Photo Fronta... 289,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-3-64go-noir.html
Smartphone XIAOMI Redmi A5 4G 3/64Go - Bleu Océan,Xiaomi,REDMI-A5-3/64-OBLUE,289.000,,3,64,5200,6.88,32,,4G,Android 15,Octa Core,Bleu Océan,,Oui,"Smartphone XIAOMI Redmi A5 4G 3/64Go - Bleu Océan [REDMI-A5-3/64-OBLUE] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250, Octa-core - Système d’exploitation: Android 15 - Mémoire: 3Go - Stockage: 64Go - Appareil photo arrière: 32 MP - Appareil Photo Frontale... 289,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-3-64go-bleu-ocean.html
Smartphone XIAOMI Redmi A5 4G 3Go 64Go  - Vert Lac,Xiaomi,REDMI-A5-3/64-LGREEN,289.000,,3,64,5200,1650,32,,4G,Android 15,Octa Core,Vert Lac,,Oui,"Smartphone XIAOMI Redmi A5 4G 3Go 64Go  - Vert Lac [REDMI-A5-3/64-LGREEN] Smartphone XIAOMI Redmi A5 - Écran : 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 3Go - Stockage : 64Go - Appareil photo arrière: 32 MP - Appareil Photo Fron... 289,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-3go-64go-vert-lac.html
Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-BLACK - Noir,Honor,HONOR-PLAY10-BLACK,299.000,,3,64,5000,6.74,,,,Android 15,Octa Core,Noir,,Oui,"Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-BLACK - Noir [HONOR-PLAY10-BLACK] Écran 6.74"" LCD TFT (720 x 1600), 90hz - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2,0 GHz Cortex-A75 et 6x1,7 GHz Cortex-A55 - Système d'exploitation: Android 15 (édition Go) - Mémoire RAM: 3Go ... 299,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-play-10-3go-64go-noir.html
