name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source,specs_sum_normalized,value_score,price_tier,ram_per_1k_tnd,storage_per_1k_tnd,battery_per_1k_tnd,camera_rear_per_1k_tnd,camera_total_mp,storage_ram_ratio,battery_per_inch,total_specs_score,is_5g,is_flagship_brand,is_latest_android
Smartphone Lesia Young 3 2+2Go 32Go  -SKY BLUE,Lesia,4.0,32.0,5000.0,6.7,8.0,5.0,4G,Android 13,Octa Core,209.0,https://www.tunisianet.com.tn/smartphone-tunisie/89002-smartphone-lesia-young-3-22go-32go-sky-blue.html,Tunisianet,0.24470714515186245,1.170847584458672,Budget,19.138755980861244,153.11004784688996,23923.444976076556,38.27751196172249,13.0,8.0,746.2686567164179,0.1348656702616483,0,0,1
Smartphone Lesia Young 9 / 6Go 32Go / Bleu Foncé,Lesia,6.0,32.0,5000.0,6.7,8.0,5.0,3G,Android 13,Unknown,219.0,https://www.tunisianet.com.tn/smartphone-tunisie/91882-smartphone-lesia-young-9-6go-32go-bleu-fonce.html,Tunisianet,0.24536073992310428,1.1203686754479647,Budget,27.397260273972602,146.11872146118722,22831.0502283105,36.529680365296805,13.0,5.333333333333333,746.2686567164179,0.13584606241851108,0,0,1
Smartphone Lesia Young 9 / 6Go 32Go / Vert,Lesia,6.0,32.0,5000.0,6.7,8.0,5.0,3G,Android 13,Unknown,219.0,https://www.tunisianet.com.tn/smartphone-tunisie/91881-smartphone-lesia-young-9-6go-32go-vert.html,Tunisianet,0.24536073992310428,1.1203686754479647,Budget,27.397260273972602,146.11872146118722,22831.0502283105,36.529680365296805,13.0,5.333333333333333,746.2686567164179,0.13584606241851108,0,0,1
Téléphone Portable LOGICOM LYRA | 2+2Go / 32Go | Noir,LOGICOM,4.0,32.0,3000.0,6.7,8.0,5.0,4G,Android 14,Quad Core,219.0,https://www.tunisianet.com.tn/smartphone-tunisie/91038-telephone-portable-logicom-lyra-22go-32go-noir.html,Tunisianet,0.18723588078404638,0.854958359744504,Budget,18.264840182648403,146.11872146118722,13698.630136986301,36.529680365296805,13.0,8.0,447.76119402985074,0.08314153233061383,0,0,1
Smartphone Itel A58 LITE A631W / 2 Go / 32 GO / Noir,Itel mobile,2.0,32.0,4000.0,6.0,5.0,8.0,3G,Android 11,Quad Core,229.0,https://www.tunisianet.com.tn/smartphone-tunisie/61304-smartphone-itel-a58-lite-a631w-2-go-32-go-noir.html,Tunisianet,0.16176697352734692,0.7064059979360128,Budget,8.73362445414847,139.73799126637553,17467.248908296944,21.83406113537118,13.0,16.0,666.6666666666666,0.09277523343076632,0,0,0
Smartphone Iku A10S / 4G / 32Go / Blanc,IKU,4.0,32.0,4000.0,6.7,13.0,5.0,4G,Android 12,Quad Core,229.0,https://www.tunisianet.com.tn/smartphone-tunisie/63887-smartphone-iku-a10s-4g-32go-blanc.html,Tunisianet,0.22024501724145873,0.9617686342421778,Budget,17.46724890829694,139.73799126637553,17467.248908296944,56.76855895196506,18.0,8.0,597.0149253731344,0.11413180642433622,0,0,0
Téléphone Portable LOGICOM Vision | 3+3Go / 32Go | Noir,LOGICOM,6.0,32.0,4000.0,5.0,16.0,8.0,4G,Android 14,Quad Core,239.0,https://www.tunisianet.com.tn/smartphone-tunisie/91043-telephone-portable-logicom-vision-33go-32go-noir.html,Tunisianet,0.08475657422592597,0.35463001768169866,Budget,25.104602510460253,133.89121338912133,16736.401673640168,66.94560669456067,24.0,5.333333333333333,800.0,0.07970227955285888,0,0,1
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Bleu,TECNO,4.0,64.0,5000.0,6.0,13.0,8.0,4G,Android 13,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/87998-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-bleu.html,Tunisianet,0.20843085885304558,0.8370717223013878,Budget,16.06425702811245,257.0281124497992,20080.321285140562,52.208835341365464,21.0,16.0,833.3333333333334,0.14347840005768742,0,0,1
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Gris,TECNO,4.0,64.0,5000.0,6.0,13.0,8.0,4G,Android 13,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/87999-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-gris.html,Tunisianet,0.20843085885304558,0.8370717223013878,Budget,16.06425702811245,257.0281124497992,20080.321285140562,52.208835341365464,21.0,16.0,833.3333333333334,0.14347840005768742,0,0,1
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Blanc,TECNO,4.0,64.0,5000.0,6.0,13.0,8.0,4G,Android 13,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/88000-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-blanc.html,Tunisianet,0.20843085885304558,0.8370717223013878,Budget,16.06425702811245,257.0281124497992,20080.321285140562,52.208835341365464,21.0,16.0,833.3333333333334,0.14347840005768742,0,0,1
