model,brand,sku,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone Honor X5b Plus 4Go 128Go – Violet – HONOR-X5B+4/128-PL,Honor,HONOR-X5B+4/128-PL,349.000,,4,128,5200,6.56,13,5,,Android 14,MediaTek,Violet,1 An,Oui,"Smartphone Honor X5b Plus 4Go 128Go – Violet – Ecran : Écran Multi-touch 6,56 Pouces Tft (720 X 1612 Pouces), Lcd – Processeur : Mediatek Helio G36 Octa-core – Système D’exploitation : Magicos 8.0 Powered By Android 14 – Mémoire : 4 Go – Stockage : 128 Go – Appareil Photo Arrière : 13 Mp – Avant : 5 Mp – Capacité De Batterie : 5200 Mah, Batterie Lithium-ion Polymère – Connectivité : Wifi, Bluetooth 5.1, 4g – Capteurs : Capteur De Gravité – Capteur De Lumière Ambiante – Capteur De Proximité – Empreinte Digital – Double Sim – Couleur : violet – Garantie : 1 An +  Avec Chargeur Inkax Adaptable Gratuit",https://bestbuytunisie.tn/smartphone-honor-x5b-plus-4go-128go-violet-honor-x5b-4-128-pl-tunisie/
Smartphone Vivo Y04  4 Go 128Go – Vert,Vivo,164950,359.000,,4,128,5500,6.74,13,5,4G,Android 14,Unisoc,Vert,1an,Oui,"Vivo Y04 -Écran: 6.74″ IPS LCD (1600 x 720), 90Hz – Processeur: Unisoc T7225 (12 nm)Octa-core – Système d’exploitation: Android 14, FuntouchOS 14 – RAM: 4Go (Extensible jusqu’à 8Go) – Stockage: 128Go – Appareil Photo Arrière: Dual 13MP + 0.08MP – Appareil Photo Frontale: 5MP – Connectivité: Wifi 4G et Bluetooth 5.2 – Batterie: 5500mAh – Charge rapide 15W – Résistance à la poussière et à l’eau IP64 – Double SIM – Couleur: Vert – Garantie: 1an",https://bestbuytunisie.tn/smartphone-vivo-y04-4-go-128go-vert-tunisie/
Smartphone Vivo Y04  4 Go 128 Go – Gold,Vivo,164951,359.000,,4,128,5500,6.74,13,5,4G,Android 14,Unisoc,Gold,1an,Oui,"Vivo Y04 -Écran: 6.74″ IPS LCD (1600 x 720), 90Hz – Processeur: Unisoc T7225 (12 nm)Octa-core – Système d’exploitation: Android 14, FuntouchOS 14 – RAM: 4Go (Extensible jusqu’à 8Go) – Stockage: 128Go – Appareil Photo Arrière: Dual 13MP + 0.08MP – Appareil Photo Frontale: 5MP – Connectivité: Wifi 4G et Bluetooth 5.2 – Batterie: 5500mAh – Charge rapide 15W – Résistance à la poussière et à l’eau IP64 – Double SIM – Couleur: Gold – Garantie: 1an",https://bestbuytunisie.tn/smartphone-vivo-y04-4-go-128-go-gold-tunisie/
Smartphone SAMSUNG GALAXY A07 4Go 64Go – Noir,Samsung,166085,379.000,,4,64,5000,6.7,50.0,8.0,4G,Android 15,MediaTek,Noir,1 an,Oui,"– Ecran : 6.7″ 720 x 1600 (HD+) PLS LCD, 90Hz – Processeur: Mediatek Helio G99 (6 nm) Octa-Core – Système d’exploitation: Android 15 – Mémoire: 4Go – Stockage: 64Go – Appareil photo arrière: 50.0 MP + 2.0 MP – Appareil Photo Frontale: 8.0 MP – Capacité de Batterie: 5000 mAh – Connectivité: Wifi et Bluetooth 5.3, 4G – Double Sim – Résistant à la poussière et à l’eau IP54 – Couleur: Noir – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-samsung-galaxy-a07-4go-64go-noir-tunisie/
Smartphone SAMSUNG GALAXY A07 4Go 64Go – Vert,Samsung,166094,379.000,,4,64,5000,6.7,50.0,8.0,4G,Android 15,MediaTek,Vert,1 an,Oui,"– Ecran : 6.7″ 720 x 1600 (HD+) PLS LCD, 90Hz – Processeur: Mediatek Helio G99 (6 nm) Octa-Core – Système d’exploitation: Android 15 – Mémoire: 4Go – Stockage: 64Go – Appareil photo arrière: 50.0 MP + 2.0 MP – Appareil Photo Frontale: 8.0 MP – Capacité de Batterie: 5000 mAh – Connectivité: Wifi et Bluetooth 5.3, 4G – Double Sim – Résistant à la poussière et à l’eau IP54 – Couleur: Vert – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-samsung-galaxy-a07-4go-64go-vert-tunisie/
Smartphone SAMSUNG GALAXY A07 4Go 64Go – Violet,Samsung,166113,379.000,,4,64,5000,6.7,50.0,8.0,4G,Android 15,MediaTek,Violet,1 an,Oui,"– Ecran : 6.7″ 720 x 1600 (HD+) PLS LCD, 90Hz – Processeur: Mediatek Helio G99 (6 nm) Octa-Core – Système d’exploitation: Android 15 – Mémoire: 4Go – Stockage: 64Go – Appareil photo arrière: 50.0 MP + 2.0 MP – Appareil Photo Frontale: 8.0 MP – Capacité de Batterie: 5000 mAh – Connectivité: Wifi et Bluetooth 5.3, 4G – Double Sim – Résistant à la poussière et à l’eau IP54 – Couleur: Violet – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-samsung-galaxy-a07-4go-64go-violet-tunisie/
Smartphone HONOR X5C 4Go 64Go – Noir,Honor,177405,379.000,,4,64,5260,6.74,13,5,4G,Android 15,MediaTek,Noir,1 an,Oui,"– Écran : 6.74″ TFT LCD (720 x 1600px), 90hz – Processeur: MediaTek Helio G81 Octa-core – Fréquence Processeur: 2×2.0 GHz Cortex-A75 et 6×1.7 GHz Cortex-A55 – Système d’exploitation: MagicOS 9.0 (Android 15) – Mémoire RAM: 4Go – Stockage: 64Go – Appareil photo Arrière: Caméra principale 13 MP (f/2.2) + caméra QVGA 0,08 MP – Appareil photo Frontale : 5 MP (ouverture f/2.2) – Connectivité: Wifi 4G et Bluetooth 5.1 – Double SIM – Capacité de la batterie: 5260mAh – Empreinte digitale (montée sur le côté), accéléromètre, proximité – Couleur: Noir – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-honor-x5c-4go-64go-noir-tunisie/
Smartphone HONOR X5C 4Go 64Go – Bleu,Honor,177424,379.000,,4,64,5260,6.74,13,5,4G,Android 15,MediaTek,Bleu,1 an,Oui,"– Écran : 6.74″ TFT LCD (720 x 1600px), 90hz – Processeur: MediaTek Helio G81 Octa-core – Fréquence Processeur: 2×2.0 GHz Cortex-A75 et 6×1.7 GHz Cortex-A55 – Système d’exploitation: MagicOS 9.0 (Android 15) – Mémoire RAM: 4Go – Stockage: 64Go – Appareil photo Arrière: Caméra principale 13 MP (f/2.2) + caméra QVGA 0,08 MP – Appareil photo Frontale : 5 MP (ouverture f/2.2) – Connectivité: Wifi 4G et Bluetooth 5.1 – Double SIM – Capacité de la batterie: 5260mAh – Empreinte digitale (montée sur le côté), accéléromètre, proximité – Couleur: Bleu – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-honor-x5c-4go-64go-bleu-tunisie/
Smartphone INFINIX Hot 60I 4G 6Go 128Go – Purple,Infinix,165295,419.000,,6,128,5160,6.7,50,8,4G,Android 15,MediaTek,Purple,1 an,Oui,"– Écran: 6,7″ LCD IPS (720 x 1600 pixels), 120 Hz – Processeur: MediaTek Helio G81 Ultimate (Octa-core, 12 nm) – Système d’exploitation: Android 15 (édition Go), XOS 15.1 – RAM: 6 Go – Stockage : 128 Go – Appareil photo arrière: 50 MP – Appareil photo Frontale: 8 MP – Connectivité: Wi-Fi 5, 4G, Bluetooth 5.3, NFC, USB Type-C – Batterie: 5160 mAh, charge rapide 45 W – Capteurs: Empreintes digitales (latéral), accéléromètre, gyroscope, boussole, proximité – Résistance: IP64 (poussière et éclaboussures) – Couleur: Violet – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-4g-6go-128go-purple-tunisie/
Smartphone INFINIX Hot 60I 4G 6Go 128Go – Neon Red,Infinix,165304,419.000,,6,128,5160,6.7,50,8,4G,Android 15,MediaTek,Neon Red,1 an,Oui,"– Écran: 6,7″ LCD IPS (720 x 1600 pixels), 120 Hz – Processeur: MediaTek Helio G81 Ultimate (Octa-core, 12 nm) – Système d’exploitation: Android 15 (édition Go), XOS 15.1 – RAM: 6 Go – Stockage : 128 Go – Appareil photo arrière: 50 MP – Appareil photo Frontale: 8 MP – Connectivité: Wi-Fi 5, 4G, Bluetooth 5.3, NFC, USB Type-C – Batterie: 5160 mAh, charge rapide 45 W – Capteurs: Empreintes digitales (latéral), accéléromètre, gyroscope, boussole, proximité – Résistance: IP64 (poussière et éclaboussures) – Couleur: Rouge – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-4g-6go-128go-neon-red-tunisie/
