name,brand,price_tnd,original_price_tnd,discount_percent,ram_gb,storage_gb,color,network,availability,product_url,image_url,category,source,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,os,processor_type
Honor X9D 5G 12GB 256GG Gold,Honor,1.3,,,,12.0,Or,5G,In Stock,https://bestphone.tn/product/honor-x9d-5g-12gb-256gg-gold/,,smartphone,BestPhone.tn,,,,,,
Redmi 14C 4GB 128GB Blue,Xiaomi,399.0,,,4.0,128.0,Blue,4G,In Stock,https://bestphone.tn/product/redmi-14c-4gb-128gb-blue/,,smartphone,BestPhone.tn,,,,,,
Redmi 14C 6GB 128GB Purple,Xiaomi,449.0,,,6.0,128.0,Red,,In Stock,https://bestphone.tn/product/redmi-14c-6gb-128gb-purple/,,smartphone,BestPhone.tn,,,,,,
Redmi 14C 8GB 256GB Blue,Xiaomi,499.0,,,8.0,256.0,Blue,,In Stock,https://bestphone.tn/product/redmi-14c-8gb-256gb-blue/,,smartphone,BestPhone.tn,,,,,,
Redmi 14C 8GB 256GB Purple,Xiaomi,499.0,,,8.0,256.0,Red,,In Stock,https://bestphone.tn/product/redmi-14c-8gb-256gb-purple/,,smartphone,BestPhone.tn,,,,,,
Redmi 15C 8GB 256GB Midnight Black,Xiaomi,549.0,,,8.0,256.0,Black,,In Stock,https://bestphone.tn/product/redmi-15c-8gb-256gb-midnight-black/,,smartphone,BestPhone.tn,,,,,,
Redmi 15C 8GB 256GB Mint Green,Xiaomi,549.0,,,8.0,256.0,Green,4G,In Stock,https://bestphone.tn/product/redmi-15c-8gb-256gb-mint-green/,,smartphone,BestPhone.tn,6000.0,,50.0,8.0,Android 15,Octa Core
Redmi Note 14  8GB 256GB,Xiaomi,699.0,,,8.0,256.0,Red,4G,In Stock,https://bestphone.tn/product/redmi-note-14-5g-8gb-256gb/,,smartphone,BestPhone.tn,5500.0,,108.0,20.0,,Octa Core
Redmi Note 14 8GB 128GB,Xiaomi,599.0,,,8.0,128.0,Red,4G,In Stock,https://bestphone.tn/product/redmi-note-14-8gb-128gb/,,smartphone,BestPhone.tn,5500.0,,108.0,20.0,,Octa Core
Redmi Note 14 8GB 128GB Ocean Blue,Xiaomi,599.0,,,8.0,128.0,Blue,4G,In Stock,https://bestphone.tn/product/redmi-note-14-8gb-128gb-ocean-blue/,,smartphone,BestPhone.tn,5000.0,6.67,108.0,,,
Redmi Note 14 Pro 12GB 512GB,Xiaomi,1.3,,,12.0,512.0,Red,5G,In Stock,https://bestphone.tn/product/redmi-note-14-pro-12gb-512gb/,,smartphone,BestPhone.tn,5110.0,,,20.0,Android 14,MediaTek
Redmi Note 14 Pro 8GB 256GB,Xiaomi,899.0,,,8.0,256.0,Red,5G,In Stock,https://bestphone.tn/product/redmi-note-14-pro-8gb-256gb/,,smartphone,BestPhone.tn,5110.0,,,20.0,Android 14,MediaTek
Redmi note 14 Pro Plus 5G 12GB 512GB,Xiaomi,1.3,,,12.0,512.0,Red,5G,In Stock,https://bestphone.tn/product/redmi-note-14-pro-plus-5g-12gb-512gb/,,smartphone,BestPhone.tn,5000.0,6.67,200.0,,,Snapdragon
SAMSUNG GALAXY A06 6GB 128GB Blanc,Samsung,449.0,,,6.0,128.0,Blanc,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a06-4gb-128gb-blanc/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,8.0,,Octa Core
SAMSUNG GALAXY A06 6GB 128GB gold,Samsung,449.0,,,6.0,128.0,Gold,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a06-4gb-128gb-gold/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,8.0,,Octa Core
SAMSUNG GALAXY A06 6GB 128GB Noir,Samsung,449.0,,,6.0,128.0,Noir,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a06-4gb-128gb-noir/,,smartphone,BestPhone.tn,5000.0,6.7,50.0,8.0,,Octa Core
Samsung galaxy A07 4GB 128GB  BLACK,Samsung,399.0,,,4.0,128.0,Black,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a07-4gb-128gb-black/,,smartphone,BestPhone.tn,5000.0,,50.0,8.0,Android 15,Octa Core
Samsung galaxy A07 4GB 128GB  Violet,Samsung,399.0,,,4.0,128.0,Violet,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a07-4gb-128gb-violet/,,smartphone,BestPhone.tn,5000.0,,50.0,8.0,Android 15,Octa Core
Samsung galaxy A07 4GB 128GB Vert,Samsung,399.0,,,4.0,128.0,Vert,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a07-4gb-128gb-vert/,,smartphone,BestPhone.tn,5000.0,,50.0,8.0,Android 15,Octa Core
SAMSUNG GALAXY A07 4GB 64GB Black,Samsung,369.0,,,4.0,64.0,Black,4G,In Stock,https://bestphone.tn/product/samsung-galaxy-a06-4gb-64gb-black/,,smartphone,BestPhone.tn,5000.0,,50.0,8.0,Android 15,Octa Core
